1550470	Ethyl sorbate	CCOC(=O)/C=C/C=C/C	0
2733294	2-Hexenyl acetate, (2E)-	CCC/C=C/COC(=O)C	0
3578033	3-(5-Methyl-2-furyl)butanal	CC1=CC=C(O1)C(C)CC=O	0
5273467	Isoamyl Cinnamate	CC(C)CCOC(=O)/C=C/C1=CC=CC=C1	0
5280450	Linoleic Acid	CCCCC/C=C\C/C=C\CCCCCCCC(=O)O	0
5281167	3-Hexenol	CC/C=C\CCO	1
5315892	Cinnamyl Alcohol	C1=CC=C(C=C1)/C=C/CO	1
5318599	2-Octen-1-ol, (2E)-	CCCCC/C=C/CO	0
5352539	Hexenyl isobutanoate, (3Z)-	CC/C=C\CCOC(=O)C(C)C	0
5352837	5-Octen-1-ol, (5Z)-	CC/C=C\CCCCO	0
5355850	Cinnamyl propionate	CCC(=O)OC/C=C/C1=CC=CC=C1	0
5362588	5-Methyl-2-hepten-4-one	CCC(C)C(=O)/C=C/C	0
5362798	4-Decenol, (4Z)-	CCCCC/C=C\CCCO	0
5362814	4-Heptenal, (4Z)-	CC/C=C\CCC=O	0
5363233	3-Decen-2-one, (3E)-	CCCCCC/C=C/C(=O)C	0
5363388	cis-3-HEXENYL ACETATE	CC/C=C\CCOC(=O)C	0
5363491	Sorbyl acetate	C/C=C/C=C/COC(=O)C	0
5364231	3-Hexenyl lactate, (3Z)-	CC/C=C\CCOC(=O)C(C)O	0
5364729	Allyl tiglate	C/C=C(\C)/C(=O)OCC=C	0
5365027	2-Nonen-1-ol, (2Z)-	CCCCCC/C=C\CO	0
5365049	cis-3-Hexenyl propionate	CC/C=C\CCOC(=O)CC	0
5367698	3-Hexenyl phenylacetate, (3Z)-	CC/C=C\CCOC(=O)CC1=CC=CC=C1	0
5367706	3-Hexenyl benzoate, (3Z)-	CC/C=C\CCOC(=O)C1=CC=CC=C1	0
5368076	Methyl 2-nonenoate	CCCCCC/C=C/C(=O)OC	0
