126	310.00 to 311.00 °C. @ 760.00 mm Hg
244	401 °F at 760 mmHg (NTP, 1992)	0.094 mm Hg at 25 °C
325	135.00 to 136.00 °C. @ 26.00 mm Hg
326	235.5 °C
460	399 to 403 °F at 760 mmHg (NTP, 1992)	0.103 mm Hg 25 °C
957	383 °F at 760 mmHg (USCG, 1999)	0.0794 [mm Hg] @25 °C
2346	242.00 to 243.00 °C. @ 760.00 mm Hg
2879	395.2 °F at 760 mmHg (NTP, 1992)	0.11 mm Hg at 25 °C
3102	582.6 °F at 760 mmHg (NTP, 1992)	0.00193 [mmHg]
6448
6501	522 to 527 °F at 760 mmHg (NTP, 1992)
6544	419.4 °F at 760 mmHg (NTP, 1992)	0.438 mm Hg @ 25 °C
6826	256 °C @ 760 MM HG
6943	417.2 °F at 760 mmHg (USCG, 1999)
6989	233 °C	0.0022 [mmHg]
6998	386 °F at 760 mmHg (USCG, 1999)	0.593 mm Hg at 25 °C
7092	577 °F at 725 mmHg (NTP, 1992)
7119	274.00 °C. @ 760.00 mm Hg	0.00823 [mmHg]
7122	300.00 to 301.00 °C. @ 760.00 mm Hg
7136	282 °C
7137
7144	221.00 to 222.00 °C. @ 760.00 mm Hg
7147	103.00 °C. @ 14.00 mm Hg
7150	388 to 390 °F at 760 mmHg (NTP, 1992)	0.38 [mmHg]
7165	75.50 °C. @ 760.00 mm Hg	0.26 [mmHg]
7194	189.00 °C. @ 12.00 mm Hg
7302	399 to 401 °F at 760 mmHg (NTP, 1992)	0.45 [mmHg]
7335	171 to 174 °F at 0.1 mmHg (NTP, 1992)
7409	399 °F at 745 mmHg (NTP, 1992)	0.05 [mmHg]
7410	395.1 °F at 760 mmHg (USCG, 1999)	0.397 mm Hg at 25 °C
7476	254 °C	0.00644 [mmHg]
7519	155.5 °C AT 760 MM HG	3.54 [mmHg]
7559	215 °C	0.16 [mmHg]
7593	330.00 to 331.00 °C. @ 760.00 mm Hg
7601	324.00 to 325.00 °C. @ 760.00 mm Hg
7632	144 °C (85 mm Hg)
7654	238.00 to 239.00 °C. @ 760.00 mm Hg
7657	568 °F at 760 mmHg (decomposes) (NTP, 1992)	0.00103 [mmHg]
7695	137.00 °C. @ 12.00 mm Hg
7792	213 °C
7795	179.00 °C. @ 760.00 mm Hg
7921	405 to 406 °F at 760 mmHg (NTP, 1992)
8048	241.00 to 245.00 °C. @ 760.00 mm Hg
8137	121.00 to 122.00 °C. @ 20.00 mm Hg
8159	378.5 °F at 760 mmHg (USCG, 1999)
8163	231.5 °C	0.04 [mmHg]
8174	446 °F at 760 mmHg (USCG, 1999)	0.00851 mm Hg at 25 °C
8184	473 °F at 760 mmHg (USCG, 1999)	0.00297 [mmHg]
8186	109.00 to 115.00 °C. @ 5.00 mm Hg	0.06 [mmHg]
8193	498 °F at 760 mmHg (USCG, 1999)	0.000848 mm Hg at 25 °C
8375	213.00 °C. @ 717.00 mm Hg	0.00748 [mmHg]
8419	538 °F at 760 mmHg (NTP, 1992)
8615
8658	238.00 °C. @ 760.00 mm Hg	0.12 [mmHg]
8797	208.00 to 212.00 °C. @ 760.00 mm Hg	0.16 [mmHg]
8815	421 °F at 764 mmHg (NTP, 1992)	0.05 [mmHg]
8878	210.00 to 212.00 °C. @ 760.00 mm Hg
8908	334.4 to 338 °F at 760 mmHg (USCG, 1999)	1.32 mm Hg at 25 °C
8914	415 °F at 760 mmHg (USCG, 1999)	0.0227 [mm Hg] @25 °C
8918	406.4 to 413.6 °F at 760 mmHg (USCG, 1999)
9016	414.7 °F at 760 mmHg (NTP, 1992)	0.08 [mmHg]
9024	249-251 °C
9025	85.00 to 87.00 °C. @ 7.00 mm Hg	0.52 [mmHg]
9862	173 °C @ 760 MM HG	0.75 [mmHg]
10364	237-238 °C @ 760 MM HG
10886	222-227 °C
10890	185.00 to 187.00 °C. @ 760.00 mm Hg
11086	BP 250-252 °C @ 760 MM HG (SOME DECOMP)	0.00989 [mmHg]
